iter	Passed	Remaining
0	59	59075
1	59	29635
2	59	19813
3	59	14900
4	60	11952
5	60	9985
6	60	8582
7	60	7530
8	60	6712
9	61	6057
10	61	5521
11	61	5075
12	61	4695
13	62	4371
14	62	4091
15	62	3850
16	62	3632
17	63	3439
18	63	3266
19	63	3109
20	63	2969
21	63	2842
22	64	2726
23	64	2618
24	64	2520
25	64	2429
26	65	2345
27	65	2267
28	65	2193
29	65	2124
30	65	2060
31	66	2000
32	66	1943
33	66	1890
34	66	1840
35	66	1792
36	67	1748
37	67	1705
38	67	1665
39	67	1627
40	68	1590
41	68	1555
42	68	1522
43	68	1490
44	68	1460
45	69	1431
46	69	1403
47	69	1377
48	69	1351
49	69	1327
50	70	1303
51	70	1280
52	70	1258
53	70	1237
54	70	1217
55	71	1197
56	71	1179
57	71	1160
58	71	1142
59	71	1125
60	72	1109
61	72	1093
62	72	1077
63	72	1062
64	72	1048
65	73	1033
66	73	1020
67	73	1004
68	73	991
69	73	979
70	73	966
71	74	955
72	74	943
73	74	932
74	74	921
75	74	910
76	75	900
77	75	890
78	75	880
79	75	871
80	75	861
81	76	852
82	76	843
83	76	834
84	76	825
85	76	816
86	76	807
87	77	799
88	77	791
89	77	783
90	77	776
91	77	768
92	78	761
93	78	754
94	78	747
95	78	740
96	78	734
97	79	727
98	79	721
99	79	715
100	79	708
101	79	701
102	79	696
103	80	690
104	80	684
105	80	679
106	80	673
107	80	668
108	81	663
109	81	657
110	81	652
111	81	647
112	81	642
113	82	637
114	82	633
115	82	628
116	82	623
117	82	618
118	82	614
119	83	609
120	83	605
121	83	601
122	83	595
123	83	591
124	83	587
125	84	583
126	84	579
127	84	575
128	84	571
129	84	567
130	85	563
131	85	560
132	85	556
133	85	553
134	85	549
135	85	546
136	86	542
137	86	539
138	86	535
139	86	532
140	86	529
141	87	526
142	87	523
143	87	519
144	87	516
145	87	513
146	88	511
147	88	507
148	88	505
149	88	502
150	88	499
151	89	496
152	89	493
153	89	491
154	89	488
155	89	485
156	89	483
157	90	480
158	90	478
159	90	475
160	90	473
161	90	470
162	91	468
163	91	465
164	91	463
165	91	461
166	91	458
167	92	456
168	92	454
169	92	451
170	92	449
171	92	447
172	93	445
173	93	443
174	93	440
175	93	438
176	93	436
177	94	434
178	94	432
179	94	430
180	94	427
181	94	425
182	94	423
183	95	422
184	95	420
185	95	418
186	95	416
187	95	414
188	96	412
189	96	410
190	96	408
191	96	407
192	96	405
193	97	403
194	97	401
195	97	399
196	97	398
197	97	396
198	98	394
199	98	392
200	98	391
201	98	389
202	98	387
203	99	386
204	99	384
205	99	383
206	99	381
207	99	379
208	99	378
209	100	376
210	100	375
211	100	373
212	100	372
213	100	370
214	101	369
215	101	367
216	101	366
217	101	364
218	101	363
219	102	362
220	102	360
221	102	359
222	102	358
223	102	356
224	103	355
225	103	353
226	103	352
227	103	351
228	103	349
229	104	348
230	104	347
231	104	346
232	104	344
233	104	343
234	105	342
235	105	341
236	105	339
237	105	338
238	105	337
239	106	335
240	106	334
241	106	333
242	106	332
243	106	331
244	107	329
245	107	328
246	107	327
247	107	326
248	107	325
249	108	324
250	108	322
251	108	321
252	108	320
253	108	319
254	108	318
255	109	317
256	109	316
257	109	315
258	109	313
259	109	312
260	110	311
261	110	310
262	110	309
263	110	308
264	110	307
265	111	306
266	111	305
267	111	304
268	111	303
269	111	302
270	112	301
271	112	300
272	112	299
273	112	298
274	112	297
275	112	296
276	113	295
277	113	294
278	113	293
279	113	292
280	113	291
281	114	290
282	114	289
283	114	288
284	114	287
285	114	286
286	115	286
287	115	285
288	115	284
289	115	283
290	115	282
291	116	281
292	116	280
293	116	279
294	116	278
295	116	278
296	117	277
297	117	276
298	117	275
299	117	274
300	117	273
301	118	272
302	118	271
303	118	271
304	118	270
305	118	269
306	119	268
307	119	267
308	119	267
309	119	266
310	119	265
311	120	264
312	120	263
313	120	263
314	120	262
315	120	261
316	120	260
317	121	259
318	121	259
319	121	258
320	121	257
321	121	256
322	122	256
323	122	255
324	122	254
325	122	253
326	122	253
327	123	252
328	123	251
329	123	250
330	123	250
331	123	249
332	124	248
333	124	247
334	124	247
335	124	246
336	124	245
337	125	245
338	125	244
339	125	243
340	125	243
341	125	242
342	126	241
343	126	240
344	126	240
345	126	239
346	126	238
347	127	238
348	127	237
349	127	236
350	127	236
351	127	235
352	128	234
353	128	234
354	128	233
355	128	232
356	128	232
357	129	231
358	129	230
359	129	230
360	129	229
361	129	228
362	130	228
363	130	227
364	130	226
365	130	226
366	130	225
367	131	225
368	131	224
369	131	223
370	131	223
371	131	222
372	131	221
373	132	221
374	132	220
375	132	220
376	132	219
377	132	218
378	133	218
379	133	217
380	133	216
381	133	216
382	133	215
383	134	215
384	134	214
385	134	213
386	134	213
387	134	212
388	135	212
389	135	211
390	135	210
391	135	210
392	135	209
393	135	209
394	136	208
395	136	208
396	136	207
397	136	206
398	136	206
399	137	205
400	137	205
401	137	204
402	137	204
403	137	203
404	138	203
405	138	202
406	138	202
407	138	201
408	139	201
409	139	200
410	139	199
411	139	199
412	139	198
413	140	198
414	140	197
415	140	197
416	140	196
417	140	196
418	141	195
419	141	195
420	141	194
421	141	194
422	141	193
423	142	193
424	142	192
425	142	191
426	142	191
427	142	190
428	143	190
429	143	189
430	143	189
431	143	188
432	143	188
433	144	187
434	144	187
435	144	186
436	144	186
437	144	185
438	144	185
439	145	184
440	145	184
441	145	183
442	145	183
443	145	182
444	146	182
445	146	181
446	146	181
447	146	180
448	146	180
449	147	179
450	147	179
451	147	178
452	147	178
453	147	177
454	148	177
455	148	176
456	148	176
457	148	175
458	148	175
459	149	175
460	149	174
461	149	174
462	149	173
463	149	173
464	150	172
465	150	172
466	150	171
467	150	171
